,shortcode,caption,likes,comments,timestamp,owner_username,owner_id,video_view_count,is_video,location,caption_hashtags,caption_mentions
43,Cap_3uCO1Wy,"(Inscrições encerradas)
Fala, dev! beleza? 👋

Nós, do Fea.dev, estamos oferecendo um curso básico de Python 📝 para alunos do Ensino Médio, mas como sobraram algumas vagas, decidimos abri-las para outros alunos do médio que também queiram participar.

Então, se você tem interesse em realizar um curso de qualidade gratuito e sem nenhum pré requisito, corre 🏃‍♂️ para se inscrever pois são poucas vagas disponíveis e as aulas já começaram!

📌 Forms de inscrição na bio e nos stories!
.
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #pythonprogrammer",70,1,2022-03-03 21:08:41,fea.dev,32518466002,,False,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'pythonprogrammer']",[]
44,CanTZdkusPZ,"Fala, devs! Beleza? 👋

Viemos fazer um convite especial para o nosso DevTalks 📣, um papo super legal sobre machine learning e T.I que vai acontecer junto com o @danielhe4rt e com o @teo.calvo!!

Então já marquem aí na agenda 🗓️ de vocês: dia 5 de março às 17h e no Twitch do He4rt! (linktree na bio)
.
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #python",59,7,2022-03-02 20:01:36,fea.dev,32518466002,,False,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'python']","['danielhe4rt', 'teo.calvo']"
45,CaVVIBUuU3K,"Fala, devs! beleza? 👋

Se liguem nesse tutorial que preparamos bem explicadinho para ajudar vocês a criarem uma conta de estudante no GitHub 👉

Gostaram do tutorial? Então deixem o like e aproveitem todos os benefícios do GitHub Student Developer Pack 😉
.
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #pythonprogramming",79,2,2022-02-23 20:30:22,fea.dev,32518466002,,False,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'pythonprogramming']",[]
46,CaSzp1UD8Ta,"Fala, devs! beleza? 👋

Nesse post da nossa série FEA.dev Indica, viemos recomendar uma rede social que quem programa ou deseja programar deveria ter: o GitHub! 😄

Se gostou do vídeo, deixe o like, compartilha com a galera e bora aprender! 🧑‍💻
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #python",126,7,2022-02-22 21:03:32,fea.dev,32518466002,1777.0,True,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'python']",[]
47,CaIlroROcsd,"O @fea.dev e a @epepusp se juntaram 🤝 para trazer uma indicação valiosa para quem se interessa por política e programação: o speechbr! 

O speechbr é um pacote do R desenvolvido pelo @dcardosous, membro do @fea.dev, que facilita o acesso a discursos de deputados do Brasil, possibilitando a realização de análises e inferências políticas. 📊 

Esse é um exemplo de como o acesso a informação na política  pode ser implementado por meio da programação. 

Esse pacote está hospedado no GitHub e pode ser acessado pelo link:https://github.com/dcardosos/speechbr",135,11,2022-02-18 21:44:55,fea.dev,28453042231,,False,,[],"['fea.dev', 'epepusp', 'dcardosous', 'fea.dev']"
48,CZz20gjOBL8,"Fala, devs! Beleza?
Hoje queremos  mostrar para vocês mais um post da série pacotes essenciais, um super pacote para visualização de dados: o GGPLOT2 para R! 👉

E aí, curtiu? Comenta ai abaixo. 
E se quiser saber mais sobre o universo da programação, não deixe de acessar o nosso canal no Youtube, que está logo ali na bio!

🤓 Uma biblioteca, ou pacote, é um arquivo de determinada linguagem que contém funções e módulos que podem ser utilizadas pelo usuário ao importá-las. Desse modo, não é necessário que o usuário de determinada linguagem tenha de criar diversas funções complexas por conta própria, otimizando os códigos.
.
.
.
.
.
#cienciadedados #Rstats #ggplot2 #usp #feadev",51,1,2022-02-10 20:30:37,fea.dev,32518466002,,False,,"['cienciadedados', 'rstats', 'ggplot2', 'usp', 'feadev']",[]
49,CZutv-kv8l9,"[ARTIGO ""Black-Scholes: da história à aplicação em Julia"" - Link na bio! 📰]

Fala, devs! Beleza? Vocês já ouviram falar sobre Black-Scholes, um modelo de precificação de ativos?

Esse modelo, desenvolvido pelos economistas Fischer Black e Myron Scholes, auxilia os investidores a estimarem preços e minimizarem incertezas em cenários de alta volatilidade.

Querem entender mais sobre a história do Black-Scholes e como ele funciona na prática através de uma aplicação em Julia? Então, acessem o texto na íntegra através do link na nossa bio! Boa leitura! ☺️",66,11,2022-02-08 20:35:09,fea.dev,32518466002,,False,,[],[]
50,CZfRvJopBeS,"Fala, devs, beleza? 👋
Em nosso terceiro post da série FEA.dev Indica, vamos recomendar alguns livros 📚 sobre algoritmos e lógica de programação. Esses assuntos são muito importantes pra quem está iniciando nesse universo!
Curta o vídeo, compartilhe com seus amigos e bora aprender! 🧑‍💻
.
.
PS: acesse nosso canal do YouTube (link na bio) para continuar evoluindo nos seus estudos de programação!
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #python",156,14,2022-02-02 20:42:08,fea.dev,32518466002,1945.0,True,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'python']",[]
51,CZAeqXFOMGO,"Fala devs, beleza? 

Hoje trouxemos a prova de que 
programar pode ser muito divertido 😁
Nesse tutorial de como jogar Jokenpô usando o Pyhton, ensinamos a criar toda a lógica do jogo e ainda disponibilizamos o código completo 😱 basta acessar o link na bio.

E se você gostou do post, curte e já compartilha com um amigo para ele aprender também!

#python #usp #programação #code #developer",62,6,2022-01-21 21:38:15,fea.dev,32518466002,,False,,"['python', 'usp', 'programação', 'code', 'developer']",[]
52,CY7P4Vouac2,"Fala, devs! Beleza?

Para te ajudar a virar mestre na análise de dados, o FEA.dev preparou para você dicas de pacotes para machine learning! Se liga 👉

🤓 Um pacote é um arquivo de determinada linguagem que contém funções e módulos que podem ser utilizadas pelo usuário ao importá-las, para que você não precise fazer algumas coisas do zero! É isso que chamamos de eficientizar o código! 

.
.
.
.
.
#cienciadedados #machinelearning #scikitlearn #tensorflow #usp #feadev #python",47,3,2022-01-19 20:52:53,fea.dev,32518466002,,False,,"['cienciadedados', 'machinelearning', 'scikitlearn', 'tensorflow', 'usp', 'feadev', 'python']",[]
